Timestamp,Status,No_of_Attempts
10-03-2025 10:27:32,Failure,27
10-03-2025 10:32:54,Failure,31
10-03-2025 10:38:59,Failure,54
10-03-2025 10:40:40,Failure,2
10-03-2025 10:41:29,Failure,26
10-03-2025 11:31:41,Failure,77
10-03-2025 12:01:03,Failure,76
10-03-2025 12:21:07,Failure,5
10-03-2025 12:21:38,Failure,7
10-03-2025 12:25:06,Failure,16
10-03-2025 12:25:42,Failure,9
10-03-2025 12:26:49,Failure,4
10-03-2025 12:28:13,Failure,25
10-03-2025 12:29:14,Failure,23
10-03-2025 12:29:50,Failure,10
10-03-2025 12:32:09,Failure,5
10-03-2025 12:33:06,Failure,4
10-03-2025 12:33:36,Failure,7
10-03-2025 12:34:30,Failure,12
10-03-2025 12:36:52,Failure,4
10-03-2025 12:37:56,Failure,4
10-03-2025 12:40:00,Failure,4
10-03-2025 12:52:01,Failure,7
10-03-2025 12:58:01,Failure,5
